klient_id,naam,ouderdom,pos_kode,registrasie_datum
K0048,Francois van der Merwe,39,7600,2020-03-05
K0049,Martie Smit,29,6850,2021-05-02
K0050,Hannes Mans,56,7620,2023-01-09
K0051,Johan Kriel,61,6850,2022-08-26
K0052,Maria Du Plessis,51,7620,2020-07-12
K0053,Anna Mans,52,7625,2022-05-17
K0054,Stefan Du Plessis,28,7600,2020-05-04
K0055,Stefan Kriel,46,7600,2021-05-24
K0056,Maria Visagie,59,7646,2020-10-14
K0057,Stefan Kruger,42,7646,2021-05-26
K0058,Martie Botha,53,6850,2020-07-19
K0059,Pieter Mans,59,7600,2020-07-10
K0060,Willem Visagie,35,7646,2022-09-21
K0061,Zanele Visagie,50,7600,2020-12-03
K0062,Stefan van der Merwe,49,7625,2024-05-24
K0063,Kobus Du Plessis,43,7646,2023-11-27
K0064,Sannie Nel,56,7620,2021-01-23
K0065,Hannes Visagie,28,6850,2024-02-15
K0066,Andries van der Merwe,45,7600,2020-04-12
K0067,Elsie Du Plessis,57,6850,2020-11-18
K0068,Pieter Nel,30,7620,2020-05-20
K0069,Elsie Botha,40,7646,2020-09-02
K0070,Willem Marais,40,6850,2023-05-02
K0071,Pieter Marais,30,7646,2023-09-08
K0072,Elsie Marais,58,7625,2021-06-18
K0073,Maria Mans,45,7620,2021-06-27
K0074,Stefan Kruger,44,7646,2021-10-09
K0075,Willem Botha,25,7646,2023-06-26
K0076,Elsie Botha,29,6850,2021-03-12
K0077,Andries Nel,33,7625,2020-05-20
K0078,Willem Visagie,48,7625,2020-11-19
K0079,Zanele Nel,44,6850,2023-09-01
K0080,Andries van der Merwe,60,7625,2023-09-20
K0081,Anna Kruger,41,7600,2020-08-07
K0082,Sannie Nel,34,7625,2021-07-31
K0083,Elsie Visagie,46,7620,2023-11-08
K0084,Francois Nel,57,7646,2021-05-29
K0085,Willem van der Merwe,30,7646,2021-07-20
K0086,Pieter van der Merwe,46,7620,2023-07-28
K0087,Hannes Kruger,53,6850,2023-12-16
K0088,Stefan Nel,25,7600,2020-06-03
K0089,Willem Kriel,34,6850,2020-03-14
K0090,Martie Smit,62,6850,2020-10-30
K0091,Stefan Kruger,27,7625,2022-01-16
K0092,Willem van der Merwe,47,7620,2023-10-28
K0093,Maria Mans,31,7625,2024-05-16
K0094,Andries Pretorius,64,7620,2021-04-29
K0095,Martie Kruger,36,7646,2020-02-20
K0096,Johan Kriel,46,7646,2024-06-30
K0097,Francois Kriel,40,7625,2020-11-22
K0098,Kobus Kriel,31,7646,2020-03-20
K0099,Martie Du Plessis,39,7620,2022-07-31
K0100,Lindie Nel,39,7620,2020-02-18
K0101,Francois Visagie,50,7625,2021-07-24
K0102,Martie Botha,42,7625,2023-08-06
K0103,Andries Pretorius,59,7625,2020-02-26
K0104,Anna Nel,36,6850,2021-06-27
K0105,Pieter Botha,63,7646,2021-12-08
K0106,Sannie Smit,52,6850,2022-11-13
K0107,Anna Pretorius,61,7620,2021-06-05
K0108,Pieter Kriel,52,7600,2022-11-30
K0109,Willem Nel,37,7625,2022-06-02
K0110,Anna Mans,46,6850,2021-10-04
K0111,Francois Botha,44,6850,2021-09-25
K0112,Francois Pretorius,45,7646,2023-11-28
K0113,Hannes Nel,33,7620,2022-05-11
K0114,Francois Pretorius,36,6850,2023-03-11
K0115,Hannes Pretorius,60,7600,2021-09-14
K0116,Hannes Visagie,52,6850,2023-05-27
K0117,Francois Smit,54,7646,2022-06-24
K0118,Francois Visagie,57,7646,2024-06-13
K0119,Willem Kriel,35,7600,2021-08-04
K0120,Andries Mans,65,6850,2021-11-17
K0121,Anna Visagie,44,7620,2021-02-11
K0122,Johan van der Merwe,27,7620,2022-08-31
K0123,Elsie Botha,54,7646,2023-07-13
K0124,Elsie Visagie,49,7646,2022-03-29
K0125,Maria Kruger,25,7600,2024-05-13
K0126,Stefan Visagie,36,6850,2022-08-09
K0127,Pieter Nel,40,7600,2022-07-23
K0128,Johan Du Plessis,58,6850,2023-05-04
K0129,Lindie Du Plessis,64,6850,2022-05-23
K0130,Martie Nel,53,7620,2024-03-03
K0131,Martie Du Plessis,53,7625,2024-03-19
K0132,Maria Mans,42,6850,2022-09-19
K0133,Francois Visagie,42,7646,2020-06-07
K0134,Sannie Nel,40,7625,2021-11-18
K0135,Lindie Nel,30,7620,2020-11-04
K0136,Maria Pretorius,34,7620,2020-05-11
K0137,Stefan Pretorius,46,6850,2022-08-12
K0138,Stefan van der Merwe,38,7646,2022-03-08
K0139,Willem Marais,26,6850,2022-02-18
K0140,Zanele van der Merwe,47,7625,2024-03-23
K0141,Stefan Pretorius,59,6850,2024-06-26
K0142,Elsie Visagie,56,7620,2021-07-12
K0143,Stefan Du Plessis,26,7646,2021-11-19
K0144,Francois Mans,50,7620,2022-08-15
K0145,Willem Kruger,64,6850,2020-02-25
K0146,Willem Pretorius,62,6850,2023-09-19
K0147,Pieter Botha,52,7620,2022-08-03
K0148,Johan van der Merwe,41,7646,2021-11-01
K0149,Maria Du Plessis,45,7625,2024-04-07
K0150,Willem Pretorius,42,7646,2021-05-31
K0151,Martie Botha,55,7600,2024-03-14
K0152,Andries van der Merwe,47,7620,2023-08-24
K0153,Anna Mans,27,7600,2021-05-21
K0154,Maria van der Merwe,64,7620,2021-05-03
K0155,Johan Du Plessis,32,6850,2021-03-22
K0156,Zanele Kriel,41,7625,2020-12-09
K0157,Elsie Marais,32,7620,2021-09-29
K0158,Anna Marais,26,7625,2023-03-25
K0159,Francois Pretorius,50,7620,2020-06-04
K0160,Elsie Kriel,65,7620,2020-07-27
K0161,Sannie Nel,63,7600,2024-06-18
K0162,Elsie van der Merwe,47,6850,2022-05-27
K0163,Francois Smit,29,6850,2023-08-19
K0164,Lindie van der Merwe,51,7646,2020-08-04
K0165,Stefan Smit,65,7646,2023-12-19
K0166,Johan Pretorius,36,6850,2023-08-25
K0167,Hannes Marais,59,7646,2022-08-10
K0168,Stefan Kriel,62,7625,2021-10-22
K0169,Martie Visagie,30,7625,2022-07-12
K0170,Maria Du Plessis,61,6850,2023-09-30
K0171,Stefan Smit,26,7646,2021-10-27
K0172,Johan Du Plessis,38,7625,2024-06-21
K0173,Hannes Smit,42,6850,2023-12-07
K0174,Willem Nel,60,7600,2022-11-24
K0175,Maria Botha,40,7646,2022-09-27
K0176,Andries Visagie,55,7646,2022-07-06
K0177,Kobus van der Merwe,30,7625,2021-03-29
K0178,Stefan Kriel,40,7625,2023-09-21
K0179,Elsie Smit,55,6850,2022-12-23
K0180,Lindie Pretorius,60,7625,2021-12-21
K0181,Sannie Du Plessis,42,7625,2021-05-29
K0182,Maria Botha,37,7625,2020-09-01
K0183,Sannie Nel,36,7620,2021-03-19
K0184,Sannie Du Plessis,42,6850,2024-04-05
K0185,Andries Marais,43,7600,2021-02-01
K0186,Hannes Visagie,48,7620,2021-09-11
K0187,Pieter Kriel,59,7620,2021-07-15
K0188,Pieter van der Merwe,60,7625,2023-11-29
K0189,Johan Mans,56,7600,2020-01-26
K0190,Elsie Nel,55,7646,2022-06-21
K0191,Lindie Kruger,28,7625,2022-09-05
K0192,Anna Botha,50,7646,2020-05-31
K0193,Elsie Mans,28,7620,2020-11-01
K0194,Kobus Marais,44,7600,2021-05-23
K0195,Anna Nel,51,6850,2023-05-05
K0196,Kobus Marais,39,6850,2022-02-18
K0197,Zanele Du Plessis,44,6850,2022-05-28
K0198,Hannes Marais,64,7600,2023-06-02
K0199,Sannie Botha,38,7620,2021-06-25
K0200,Francois Botha,35,7620,2020-12-21
